编号,品牌,产区,豆子名称,风味描述,参考价格/规格,每百克价格,优点,缺点,最新评分,萃取建议,首测日期,复测日期,复测日期,群友评价,群友评价,群友评价,群友评价
1,治光师,埃塞,野草莓,草莓酱 甜橙,128/450,28.444444444444443,甜感在线 风味明显,略有瑕疵 干净度弱 ,4-,,2023/5/6,2024/10/30,,,,,,
2,治光师,拼配,北野拼配,奶油 香料 黑巧,128/450,28.444444444444443,整体均衡,略有瑕疵 干净度弱 ,3.5,,2023/5/6,,,,,,,
3,分子,埃塞,液体芝士,芝士 可可,62/227,27,风味明显 性价比高,触感稍薄,4,,2023/6/10,,,,,,,
4,乔治队长,拼配,黑猫拼配,焦糖 黑巧,75/454,16.5,性价比高 整体均衡,风味指向弱,4,,2023/7/18,,,,,,,
5,启程拓殖,拼配,奶油葡萄,葡萄干 朗姆酒,59/200,29,风味明显 甜感高,触感稍弱 微有酵感,5,,2023/6/12,,,,,,,
6,启程拓殖,拼配,冰淇淋甜橙,冰淇淋 复合浆果 甜橙,66/200,33,性价比高 整体均衡,风味强度偏弱,4-,,2023/6/16,,,,,,,
7,良致,拼配,甜地球,甜葡萄 蜂蜜,68/200,34,甜感高,触感稍薄,4,,2023/7/8,,,,,,,
8,AOKKA,埃塞,花魁soe,花香 莓果酸质,60/250,24,性价比高 风味尚可,瑕疵率高 味道稍杂,3.5,,2023/7/16,,,,,,,
9,余未,拼配,意式拼配,黑巧 烟熏 木质,78/227,34.3,无,瑕疵率高 风味差 广告多,1,,2023/7/29,,,,,,,
10,艾思品,埃塞,流心巴斯克,芝士蛋糕 奶油饼干,73/227,32,风味明显 奶香丰富,触感稍薄 ,4,,2023/8/11,,,,,,,
11,明谦,拼配,教父,坚果 木质,39/200,19.5,醇厚度高 ,风味差 负面明显 广告多,2.5,,2023/7/29,,,,,,,
12,乔治队长,拼配,疣猪拼配,黑巧 坚果,75/454,16.5,性价比高 醇厚度高,味道稍杂 略有烟熏,4,,2023/8/3,,,,,,,
13,大咖岛,拼配,意式特浓,柠檬 蜂蜜 薄荷,82/454,18,性价比高 整体均衡,风味强度弱 层次弱,4,,2023/8/8,,,,,,,
14,Coffee Buff,拼配,朱古力buff,烤杏仁 焦糖 木质,76/250,30.4,甜感尚可,不耐萃 略有负面,4,,2023/8/10,2024/12/21,2025/3/26,,,,,
15,野刺猬,拼配,哥伦果酥,奶油 苹果 坚果,68/227,30,触感尚可 整体均衡,风味指向性弱,4,,2023/8/16,,,,,,,
16,河川水流,埃塞,黄金温泉,柑橘 红色浆果 芝士,65/200,32.5,风味明显 整体均衡,美式酸质稍沉闷,4.5,,2023/8/16,2024/8/12,2025/4/5,,,,,
17,布雷克,埃塞,原生瑰夏,花香 莓果,64/250,25.6,花香明显 性价比尚可,触感稍弱 甜感稍弱,3.5,,2023/8/31,,,,,,,
18,分子,拼配,液体黑巧,巧克力 榛子 可可,39/227,17.2,性价比高 风味明显 触感尚可,干净度稍弱,4,,2023/10/18,,,,,,,
19,云澜庄园,云南,柚子巴斯克,柚子 黄油 芝士,46.8/250,18.7,性价比高 柚子风味明显,瑕疵率高 味道杂 甜感稍弱,3+,,2023/10/7,,,,,,,
20,Joker,拼配,茶花女,花茶 绿茶 柑橘,74/227,32.6,花香四溢 奶咖清爽,醇厚度稍低,5,,2023/11/7,,,,,,,
21,Joker,拼配,任天糖,蜂蜜 花香,68/150,45.3,甜感在线 花香明显,层次感稍弱 性价比偏低,4,,2023/11/12,,,,,,,
22,Wood,拼配,野子奶糖,椰子奶糖 太妃糖,25/227,19.8,甜感高 风味具象 性价比高,触感差,4,,2023/11/15,,,,,,,
23,白鲸,埃塞,沙丘,红色莓果 桃子 花香,87/200,43.5,甜感在线 风味明显,美式微有酵感 酸质略尖涩,4+,奶咖,2023/12/30,2025/7/18,,,,,,
24,蓝瓶子,拼配,传奇律动,可可 饼干,138/200,69,整体均衡 干净,性价比低 风味指向弱,3-,,2024/1/4,,,,,,,
